k1     a1     p1     k2     a2     p2     k3     a3     p3     u1   u2   nll  
1.89995 1.19672 0.433432 0.0995903 0.918829 -0.413817  0.00843466 0.922781 0.535934 0.899923 0.800013 2.3607e+06 0.198356
1.89995 1.21311 0.468243 0.0995785 0.926336 -0.408776  0.00850923 0.930136 0.54212 0.899921 0.800013 2.17957e+06 0.190594
1.89995 1.19811 0.434285 0.0995621 0.922003 -0.411325  0.00845082 0.923062 0.533213 0.899918 0.800013 2.25061e+06 0.193676
1.89995 1.21325 0.466547 0.09955 0.929029 -0.406566  0.00851937 0.929875 0.538869 0.899916 0.800013 2.09822e+06 0.187004
1.89995 1.19937 0.435239 0.0995337 0.925084 -0.408873  0.00846548 0.923372 0.530643 0.899914 0.800013 2.14844e+06 0.189228
1.89994 1.21325 0.46491 0.0995214 0.931624 -0.404403  0.00852804 0.929635 0.535761 0.899911 0.800013 2.02265e+06 0.183605
1.89994 1.2005 0.436242 0.0995052 0.928073 -0.406463  0.00847866 0.923702 0.528203 0.899909 0.800012 2.05477e+06 0.185057
1.89994 1.21312 0.463312 0.0994926 0.934126 -0.402286  0.0085353 0.929417 0.532787 0.899906 0.800013 1.95259e+06 0.180397
1.89994 1.20148 0.437259 0.0994765 0.930971 -0.404094  0.00849039 0.924048 0.525886 0.899904 0.800012 1.9715e+06 0.181269
1.89994 1.21287 0.461783 0.0994637 0.93655 -0.400205  0.00854134 0.929232 0.529952 0.899901 0.800012 1.8894e+06 0.177454
1.89994 1.20233 0.438282 0.0994477 0.933789 -0.401762  0.00850079 0.924415 0.523687 0.899899 0.800012 1.89865e+06 0.177888
1.89994 1.21254 0.460331 0.0994347 0.938909 -0.398153  0.0085463 0.929086 0.527255 0.899896 0.800012 1.83361e+06 0.174815
1.89993 1.20305 0.439241 0.0994187 0.936523 -0.399468  0.00850988 0.924793 0.521588 0.899894 0.800012 1.83614e+06 0.174935
1.89993 1.21214 0.458954 0.0994055 0.941214 -0.396125  0.00855032 0.928986 0.524694 0.899891 0.800012 1.78467e+06 0.172466
1.89993 1.20365 0.440166 0.0993897 0.939193 -0.397202  0.00851785 0.925195 0.519596 0.899889 0.800012 1.78274e+06 0.172372
